Name,B2,B6,B7,B9,B10,B11,B14,B15,BRBR
MH0049_GL0018407,1,1,1,0,1,0,1,0,1
MH0003_GL0078036,1,0,1,0,1,0,0,0,0
MH0067_GL0066739,1,0,0,0,0,0,0,0,0
MH0008_GL0014608,1,0,0,1,1,1,1,1,1
T2D-135A_GL0059318,1,0,0,0,0,0,0,0,0
MH0356_GL0034713,1,0,1,0,0,0,0,0,0
V1.FI33_GL0063049,1,1,0,0,0,0,0,0,0
MH0326_GL0013794,1,0,1,0,1,0,0,0,0
MH0199_GL0096149,1,0,0,0,0,0,1,0,1
MH0006_GL0091516,1,0,0,0,0,0,0,0,0
MH0222_GL0118890,1,0,0,1,1,0,0,0,0
MH0013_GL0005134,1,1,1,1,1,0,0,0,0
MH0089_GL0028252,1,1,0,1,0,0,1,0,1
MH0026_GL0054990,1,0,1,0,1,0,0,0,1
MH0262_GL0111648,1,1,0,1,0,0,1,0,1
MH0016_GL0031834,1,0,0,0,0,0,0,0,1
NLM027_GL0000173,1,1,0,1,1,1,1,1,1
V1.CD7-0-PN_GL0008602,1,0,0,0,1,1,1,1,1
MH0086_GL0075294,1,1,1,1,0,0,0,0,0
MH0013_GL0005176,1,0,1,0,1,0,0,0,0
MH0270_GL0115739,1,1,1,0,1,0,1,0,0
MH0046_GL0036051,1,0,0,0,0,0,0,0,0
MH0002_GL0028950,1,1,1,1,0,0,1,0,1
T2D-59A_GL0086803,1,1,0,1,0,0,1,0,1
MH0099_GL0026076,1,0,0,1,1,0,0,0,0
MH0109_GL0036381,1,0,0,0,0,0,0,0,0
MH0002_GL0054682,1,1,0,1,0,0,0,0,1
MH0028_GL0023939,1,0,0,0,0,0,0,0,0
MH0014_GL0110432,1,1,0,1,0,1,1,1,1
MH0039_GL0019368,1,0,0,0,0,0,0,0,0
MH0010_GL0032494,1,1,1,0,1,0,0,0,0
T2D-81A_GL0012457,1,0,0,0,0,0,0,0,1
DLF008_GL0024033,1,1,0,1,0,0,1,0,0
MH0013_GL0024134,1,0,1,0,1,0,0,0,0
T2D-203A_GL0046197,1,1,0,0,0,0,0,0,0
MH0066_GL0010765,1,0,1,0,1,0,0,0,0
MH0364_GL0081115,1,1,0,0,0,0,0,0,1
MH0002_GL0022606,1,1,0,1,0,0,1,0,1
MH0068_GL0013021,1,1,1,0,1,0,0,0,0
MH0010_GL0023613,1,1,0,0,0,0,0,0,0
MH0002_GL0049858,1,1,0,1,0,0,1,0,1
MH0113_GL0079522,1,0,0,0,0,0,0,0,0
O2.UC4-1_GL0180535,1,0,0,0,0,0,0,0,0
MH0415_GL0017945,1,1,0,1,0,1,1,1,1
V1.UC23-1_GL0090652,1,0,1,0,0,0,0,0,1
MH0287_GL0189292,1,0,1,0,0,0,0,0,0
MH0002_GL0020591,1,1,0,1,0,0,1,0,1
MH0441_GL0067511,1,1,0,1,0,0,1,0,1
HT25A_GL0009473,1,0,0,0,0,0,0,0,0
MH0233_GL0033226,1,1,1,0,0,0,0,0,0
MH0033_GL0055185,1,0,0,0,0,0,0,0,0
MH0039_GL0027074,1,0,0,0,0,0,0,0,0
V1.CD34-0_GL0102330,1,0,1,0,0,0,0,0,0
MH0006_GL0032158,1,1,0,0,1,0,1,0,1
MH0039_GL0042967,1,0,0,0,0,0,0,0,0
O2.UC17-1_GL0084760,1,1,0,1,1,0,0,0,0
V1.UC41-0_GL0031140,0,1,0,0,0,0,0,0,0
O2.UC4-1_GL0166577,0,1,1,0,0,0,0,0,0
MH0050_GL0052288,0,1,1,0,1,0,0,0,0
MH0289_GL0081145,0,1,1,1,0,0,0,0,0
MH0055_GL0030858,0,1,1,0,0,0,0,0,0
DLM022_GL0089811,0,1,0,1,0,0,1,0,1
MH0192_GL0155472,0,1,1,1,0,0,1,0,1
MH0260_GL0148862,0,1,0,0,0,0,0,0,0
1006551.KOX_22955,0,1,0,0,0,0,0,1,0
MH0457_GL0179901,0,1,0,0,0,0,0,0,0
MH0150_GL0078775,0,1,1,1,1,0,0,0,0
MH0002_GL0066689,0,1,0,1,0,0,0,0,1
