Name;B2;B6;B7;B9;B10;B11;B14;B15;BRBR
159;1;0;0;0;0;0;0;0;0
160;1;1;0;1;1;0;0;0;0
161;0;1;0;0;0;0;0;0;0
162;0;1;1;0;0;0;0;0;0
163;0;1;1;0;1;0;0;0;0
164;0;1;1;1;0;0;0;0;0
165;0;1;1;0;0;0;0;0;0
166;0;1;0;1;0;0;1;0;1
167;0;1;1;1;0;0;1;0;1
168;0;1;0;0;0;0;0;0;0
169;0;1;0;0;0;0;0;1;0
170;0;1;0;0;0;0;0;0;0
171;0;1;1;1;1;0;0;0;0
172;0;1;0;1;0;0;0;0;1
173;0;1;1;0;1;0;0;0;0
174;0;1;0;1;0;0;1;0;1
175;0;1;0;1;0;0;1;0;1
176;0;1;0;0;0;0;0;0;1
177;0;1;0;0;0;0;0;0;0
178;0;1;0;1;0;0;0;0;1
179;0;1;0;1;0;1;1;1;0
180;0;1;0;0;1;0;0;0;0
181;0;1;1;1;1;0;1;0;0
182;0;1;0;1;0;0;1;0;1
183;0;1;0;0;0;0;0;0;1
184;0;1;0;1;0;0;1;0;1
185;0;1;0;1;0;0;0;0;1
186;0;1;1;1;1;0;1;0;0
187;0;1;0;1;0;0;0;0;1
188;0;1;0;0;0;0;0;0;1
189;0;1;0;0;0;0;0;0;1
190;0;1;1;0;0;0;0;0;1
191;0;1;0;0;0;0;0;0;1
192;0;1;0;1;1;1;1;1;1
193;0;1;0;0;0;0;0;0;0
194;0;1;0;0;0;0;0;0;1
195;0;1;0;0;0;0;0;0;1
196;0;1;0;1;0;0;0;0;1
197;0;1;0;1;0;0;0;0;1
198;0;1;0;1;1;0;0;0;1
199;0;1;0;1;0;0;0;0;1
200;0;1;0;1;1;1;1;1;1
201;0;1;1;1;0;0;0;0;0
202;0;1;0;1;0;0;0;0;1
203;0;1;0;1;0;0;1;0;1
204;0;1;0;1;0;0;0;0;1
205;0;1;1;1;1;0;1;0;1
206;0;1;1;0;1;0;0;0;0
207;0;1;1;0;1;0;0;0;0
208;0;1;0;0;0;0;0;0;0
209;0;1;0;1;0;0;0;0;1
210;0;1;0;1;0;0;1;0;1
211;0;1;1;0;0;0;0;0;0
212;0;1;1;1;0;0;1;0;1
213;0;1;0;0;0;0;0;0;0
214;0;1;0;1;0;0;1;0;1
215;0;1;0;0;0;0;0;0;0
216;0;1;0;1;0;0;0;0;1
217;0;1;1;0;1;0;1;0;1
218;0;1;1;0;1;0;1;0;1
219;0;1;0;1;0;0;1;0;1
220;0;1;0;0;0;0;0;0;0
221;0;0;1;0;0;0;0;0;0
222;0;0;1;0;0;0;0;0;0
223;0;0;1;0;1;0;0;0;0
224;0;0;1;0;1;0;0;0;0
225;0;0;1;0;1;0;0;0;0
226;0;0;1;1;1;0;1;0;0
227;0;0;1;0;1;0;0;0;0
228;0;0;1;0;1;0;1;0;0
229;0;0;1;1;1;0;0;0;0
230;0;0;1;0;0;0;0;0;0
231;0;0;1;0;1;0;0;0;0
232;0;0;1;0;1;0;0;0;0
233;0;0;1;0;0;0;0;0;0
234;0;0;1;0;1;0;0;0;0
235;0;0;1;0;1;0;0;0;0
236;0;0;1;0;1;0;0;0;0
237;0;0;1;0;0;0;0;0;0
238;0;0;1;0;1;0;0;0;0
